NO,Code,Name,major categor,minor categor,,,
464,U+1F3CC U+FE0F U+200D U+2642 U+FE0F,man golfing,People & Body,person-sport,,,
465,U+1F3CC U+FE0F U+200D U+2640 U+FE0F,woman golfing,People & Body,person-sport,,,
466,U+1F3C4,person surfing,People & Body,person-sport,,,
467,U+1F3C4 U+200D U+2642 U+FE0F,man surfing,People & Body,person-sport,,,
468,U+1F3C4 U+200D U+2640 U+FE0F,woman surfing,People & Body,person-sport,,,
469,U+1F6A3,person rowing boat,People & Body,person-sport,,,
470,U+1F6A3 U+200D U+2642 U+FE0F,man rowing boat,People & Body,person-sport,,,
471,U+1F6A3 U+200D U+2640 U+FE0F,woman rowing boat,People & Body,person-sport,,,
472,U+1F3CA,person swimming,People & Body,person-sport,,,
473,U+1F3CA U+200D U+2642 U+FE0F,man swimming,People & Body,person-sport,,,
474,U+1F3CA U+200D U+2640 U+FE0F,woman swimming,People & Body,person-sport,,,
475,U+26F9,person bouncing ball,People & Body,person-sport,,,
476,U+26F9 U+FE0F U+200D U+2642 U+FE0F,man bouncing ball,People & Body,person-sport,,,
477,U+26F9 U+FE0F U+200D U+2640 U+FE0F,woman bouncing ball,People & Body,person-sport,,,
478,U+1F3CB,person lifting weights,People & Body,person-sport,,,
479,U+1F3CB U+FE0F U+200D U+2642 U+FE0F,man lifting weights,People & Body,person-sport,,,
480,U+1F3CB U+FE0F U+200D U+2640 U+FE0F,woman lifting weights,People & Body,person-sport,,,
481,U+1F6B4,person biking,People & Body,person-sport,,,
482,U+1F6B4 U+200D U+2642 U+FE0F,man biking,People & Body,person-sport,,,
483,U+1F6B4 U+200D U+2640 U+FE0F,woman biking,People & Body,person-sport,,,
484,U+1F6B5,person mountain biking,People & Body,person-sport,,,
485,U+1F6B5 U+200D U+2642 U+FE0F,man mountain biking,People & Body,person-sport,,,
486,U+1F6B5 U+200D U+2640 U+FE0F,woman mountain biking,People & Body,person-sport,,,
487,U+1F938,person cartwheeling,People & Body,person-sport,,,
488,U+1F938 U+200D U+2642 U+FE0F,man cartwheeling,People & Body,person-sport,,,
489,U+1F938 U+200D U+2640 U+FE0F,woman cartwheeling,People & Body,person-sport,,,
490,U+1F93C,people wrestling,People & Body,person-sport,,,
491,U+1F93C U+200D U+2642 U+FE0F,men wrestling,People & Body,person-sport,,,
492,U+1F93C U+200D U+2640 U+FE0F,women wrestling,People & Body,person-sport,,,
493,U+1F93D,person playing water polo,People & Body,person-sport,,,
494,U+1F93D U+200D U+2642 U+FE0F,man playing water polo,People & Body,person-sport,,,
495,U+1F93D U+200D U+2640 U+FE0F,woman playing water polo,People & Body,person-sport,,,
496,U+1F93E,person playing handball,People & Body,person-sport,,,
497,U+1F93E U+200D U+2642 U+FE0F,man playing handball,People & Body,person-sport,,,
498,U+1F93E U+200D U+2640 U+FE0F,woman playing handball,People & Body,person-sport,,,
499,U+1F939,person juggling,People & Body,person-sport,,,
500,U+1F939 U+200D U+2642 U+FE0F,man juggling,People & Body,person-sport,,,
501,U+1F939 U+200D U+2640 U+FE0F,woman juggling,People & Body,person-sport,,,
502,U+1F9D8,person in lotus position,People & Body,person-resting,,,
503,U+1F9D8 U+200D U+2642 U+FE0F,man in lotus position,People & Body,person-resting,,,
504,U+1F9D8 U+200D U+2640 U+FE0F,woman in lotus position,People & Body,person-resting,,,
505,U+1F6C0,person taking bath,People & Body,person-resting,,,
506,U+1F6CC,person in bed,People & Body,person-resting,,,
507,U+1F9D1 U+200D U+1F91D U+200D U+1F9D1,people holding hands,People & Body,family,,,
508,U+1F46D,women holding hands,People & Body,family,,,
509,U+1F46B,woman and man holding hands,People & Body,family,,,
510,U+1F46C,men holding hands,People & Body,family,,,
511,U+1F48F,kiss,People & Body,family,,,
512,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,"kiss: woman, man",People & Body,family,,,
513,U+1F468 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,"kiss: man, man",People & Body,family,,,
514,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469,"kiss: woman, woman",People & Body,family,,,
515,U+1F491,couple with heart,People & Body,family,,,
516,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F468,"couple with heart: woman, man",People & Body,family,,,
517,U+1F468 U+200D U+2764 U+FE0F U+200D U+1F468,"couple with heart: man, man",People & Body,family,,,
518,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F469,"couple with heart: woman, woman",People & Body,family,,,
519,U+1F468 U+200D U+1F469 U+200D U+1F466,"family: man, woman, boy",People & Body,family,,,
520,U+1F468 U+200D U+1F469 U+200D U+1F467,"family: man, woman, girl",People & Body,family,,,
521,U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,"family: man, woman, girl, boy",People & Body,family,,,
522,U+1F468 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,"family: man, woman, boy, boy",People & Body,family,,,
523,U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,"family: man, woman, girl, girl",People & Body,family,,,
524,U+1F468 U+200D U+1F468 U+200D U+1F466,"family: man, man, boy",People & Body,family,,,
525,U+1F468 U+200D U+1F468 U+200D U+1F467,"family: man, man, girl",People & Body,family,,,
526,U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F466,"family: man, man, girl, boy",People & Body,family,,,
527,U+1F468 U+200D U+1F468 U+200D U+1F466 U+200D U+1F466,"family: man, man, boy, boy",People & Body,family,,,
528,U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F467,"family: man, man, girl, girl",People & Body,family,,,
529,U+1F469 U+200D U+1F469 U+200D U+1F466,"family: woman, woman, boy",People & Body,family,,,
530,U+1F469 U+200D U+1F469 U+200D U+1F467,"family: woman, woman, girl",People & Body,family,,,
531,U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,"family: woman, woman, girl, boy",People & Body,family,,,
532,U+1F469 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,"family: woman, woman, boy, boy",People & Body,family,,,
533,U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,"family: woman, woman, girl, girl",People & Body,family,,,
534,U+1F468 U+200D U+1F466,"family: man, boy",People & Body,family,,,
535,U+1F468 U+200D U+1F466 U+200D U+1F466,"family: man, boy, boy",People & Body,family,,,
536,U+1F468 U+200D U+1F467,"family: man, girl",People & Body,family,,,
537,U+1F468 U+200D U+1F467 U+200D U+1F466,"family: man, girl, boy",People & Body,family,,,
538,U+1F468 U+200D U+1F467 U+200D U+1F467,"family: man, girl, girl",People & Body,family,,,
539,U+1F469 U+200D U+1F466,"family: woman, boy",People & Body,family,,,
540,U+1F469 U+200D U+1F466 U+200D U+1F466,"family: woman, boy, boy",People & Body,family,,,
541,U+1F469 U+200D U+1F467,"family: woman, girl",People & Body,family,,,
542,U+1F469 U+200D U+1F467 U+200D U+1F466,"family: woman, girl, boy",People & Body,family,,,
543,U+1F469 U+200D U+1F467 U+200D U+1F467,"family: woman, girl, girl",People & Body,family,,,
544,U+1F5E3,speaking head,People & Body,person-symbol,,,
545,U+1F464,bust in silhouette,People & Body,person-symbol,,,
546,U+1F465,busts in silhouette,People & Body,person-symbol,,,
547,U+1FAC2,people hugging,People & Body,person-symbol,,,
548,U+1F46A,family,People & Body,person-symbol,,,
549,U+1F9D1 U+200D U+1F9D1 U+200D U+1F9D2,"⊛ family: adult, adult, child",People & Body,person-symbol,,,
550,U+1F9D1 U+200D U+1F9D1 U+200D U+1F9D2 U+200D U+1F9D2,"⊛ family: adult, adult, child, child",People & Body,person-symbol,,,
551,U+1F9D1 U+200D U+1F9D2,"⊛ family: adult, child",People & Body,person-symbol,,,
552,U+1F9D1 U+200D U+1F9D2 U+200D U+1F9D2,"⊛ family: adult, child, child",People & Body,person-symbol,,,
553,U+1F463,footprints,People & Body,person-symbol,,,
554,U+1F9B0,red hair,Component,hair-style,,,
555,U+1F9B1,curly hair,Component,hair-style,,,
556,U+1F9B3,white hair,Component,hair-style,,,
557,U+1F9B2,bald,Component,hair-style,,,
558,U+1F435,monkey face,Animals & Nature,animal-mammal,,,
559,U+1F412,monkey,Animals & Nature,animal-mammal,,,
560,U+1F98D,gorilla,Animals & Nature,animal-mammal,,,
561,U+1F9A7,orangutan,Animals & Nature,animal-mammal,,,
562,U+1F436,dog face,Animals & Nature,animal-mammal,,,
563,U+1F415,dog,Animals & Nature,animal-mammal,,,
564,U+1F9AE,guide dog,Animals & Nature,animal-mammal,,,
565,U+1F415 U+200D U+1F9BA,service dog,Animals & Nature,animal-mammal,,,
566,U+1F429,poodle,Animals & Nature,animal-mammal,,,
567,U+1F43A,wolf,Animals & Nature,animal-mammal,,,
568,U+1F98A,fox,Animals & Nature,animal-mammal,,,
569,U+1F99D,raccoon,Animals & Nature,animal-mammal,,,
570,U+1F431,cat face,Animals & Nature,animal-mammal,,,
571,U+1F408,cat,Animals & Nature,animal-mammal,,,
572,U+1F408 U+200D U+2B1B,black cat,Animals & Nature,animal-mammal,,,
573,U+1F981,lion,Animals & Nature,animal-mammal,,,
574,U+1F42F,tiger face,Animals & Nature,animal-mammal,,,
575,U+1F405,tiger,Animals & Nature,animal-mammal,,,
576,U+1F406,leopard,Animals & Nature,animal-mammal,,,
577,U+1F434,horse face,Animals & Nature,animal-mammal,,,
578,U+1FACE,moose,Animals & Nature,animal-mammal,,,
579,U+1FACF,donkey,Animals & Nature,animal-mammal,,,
580,U+1F40E,horse,Animals & Nature,animal-mammal,,,
581,U+1F984,unicorn,Animals & Nature,animal-mammal,,,
582,U+1F993,zebra,Animals & Nature,animal-mammal,,,
583,U+1F98C,deer,Animals & Nature,animal-mammal,,,
584,U+1F9AC,bison,Animals & Nature,animal-mammal,,,
585,U+1F42E,cow face,Animals & Nature,animal-mammal,,,
586,U+1F402,ox,Animals & Nature,animal-mammal,,,
587,U+1F403,water buffalo,Animals & Nature,animal-mammal,,,
588,U+1F404,cow,Animals & Nature,animal-mammal,,,
589,U+1F437,pig face,Animals & Nature,animal-mammal,,,
590,U+1F416,pig,Animals & Nature,animal-mammal,,,
591,U+1F417,boar,Animals & Nature,animal-mammal,,,
592,U+1F43D,pig nose,Animals & Nature,animal-mammal,,,
593,U+1F40F,ram,Animals & Nature,animal-mammal,,,
594,U+1F411,ewe,Animals & Nature,animal-mammal,,,
595,U+1F410,goat,Animals & Nature,animal-mammal,,,
596,U+1F42A,camel,Animals & Nature,animal-mammal,,,
597,U+1F42B,two-hump camel,Animals & Nature,animal-mammal,,,
598,U+1F999,llama,Animals & Nature,animal-mammal,,,
599,U+1F992,giraffe,Animals & Nature,animal-mammal,,,
600,U+1F418,elephant,Animals & Nature,animal-mammal,,,
601,U+1F9A3,mammoth,Animals & Nature,animal-mammal,,,
602,U+1F98F,rhinoceros,Animals & Nature,animal-mammal,,,
603,U+1F99B,hippopotamus,Animals & Nature,animal-mammal,,,
604,U+1F42D,mouse face,Animals & Nature,animal-mammal,,,
605,U+1F401,mouse,Animals & Nature,animal-mammal,,,
606,U+1F400,rat,Animals & Nature,animal-mammal,,,
607,U+1F439,hamster,Animals & Nature,animal-mammal,,,
608,U+1F430,rabbit face,Animals & Nature,animal-mammal,,,
609,U+1F407,rabbit,Animals & Nature,animal-mammal,,,
610,U+1F43F,chipmunk,Animals & Nature,animal-mammal,,,
611,U+1F9AB,beaver,Animals & Nature,animal-mammal,,,
612,U+1F994,hedgehog,Animals & Nature,animal-mammal,,,
613,U+1F987,bat,Animals & Nature,animal-mammal,,,
614,U+1F43B,bear,Animals & Nature,animal-mammal,,,
615,U+1F43B U+200D U+2744 U+FE0F,polar bear,Animals & Nature,animal-mammal,,,
616,U+1F428,koala,Animals & Nature,animal-mammal,,,
617,U+1F43C,panda,Animals & Nature,animal-mammal,,,
618,U+1F9A5,sloth,Animals & Nature,animal-mammal,,,
619,U+1F9A6,otter,Animals & Nature,animal-mammal,,,
620,U+1F9A8,skunk,Animals & Nature,animal-mammal,,,
621,U+1F998,kangaroo,Animals & Nature,animal-mammal,,,
622,U+1F9A1,badger,Animals & Nature,animal-mammal,,,
623,U+1F43E,paw prints,Animals & Nature,animal-mammal,,,
624,U+1F983,turkey,Animals & Nature,animal-bird,,,
625,U+1F414,chicken,Animals & Nature,animal-bird,,,
626,U+1F413,rooster,Animals & Nature,animal-bird,,,
627,U+1F423,hatching chick,Animals & Nature,animal-bird,,,
628,U+1F424,baby chick,Animals & Nature,animal-bird,,,
629,U+1F425,front-facing baby chick,Animals & Nature,animal-bird,,,
630,U+1F426,bird,Animals & Nature,animal-bird,,,
631,U+1F427,penguin,Animals & Nature,animal-bird,,,
632,U+1F54A,dove,Animals & Nature,animal-bird,,,
633,U+1F985,eagle,Animals & Nature,animal-bird,,,
634,U+1F986,duck,Animals & Nature,animal-bird,,,
635,U+1F9A2,swan,Animals & Nature,animal-bird,,,
636,U+1F989,owl,Animals & Nature,animal-bird,,,
637,U+1F9A4,dodo,Animals & Nature,animal-bird,,,
638,U+1FAB6,feather,Animals & Nature,animal-bird,,,
639,U+1F9A9,flamingo,Animals & Nature,animal-bird,,,
640,U+1F99A,peacock,Animals & Nature,animal-bird,,,
641,U+1F99C,parrot,Animals & Nature,animal-bird,,,
642,U+1FABD,wing,Animals & Nature,animal-bird,,,
643,U+1F426 U+200D U+2B1B,black bird,Animals & Nature,animal-bird,,,
644,U+1FABF,goose,Animals & Nature,animal-bird,,,
645,U+1F426 U+200D U+1F525,⊛ phoenix,Animals & Nature,animal-bird,,,
646,U+1F438,frog,Animals & Nature,animal-amphibian,,,
647,U+1F40A,crocodile,Animals & Nature,animal-reptile,,,
648,U+1F422,turtle,Animals & Nature,animal-reptile,,,
649,U+1F98E,lizard,Animals & Nature,animal-reptile,,,
650,U+1F40D,snake,Animals & Nature,animal-reptile,,,
651,U+1F432,dragon face,Animals & Nature,animal-reptile,,,
652,U+1F409,dragon,Animals & Nature,animal-reptile,,,
653,U+1F995,sauropod,Animals & Nature,animal-reptile,,,
654,U+1F996,T-Rex,Animals & Nature,animal-reptile,,,
655,U+1F433,spouting whale,Animals & Nature,animal-marine,,,
656,U+1F40B,whale,Animals & Nature,animal-marine,,,
657,U+1F42C,dolphin,Animals & Nature,animal-marine,,,
658,U+1F9AD,seal,Animals & Nature,animal-marine,,,
659,U+1F41F,fish,Animals & Nature,animal-marine,,,
660,U+1F420,tropical fish,Animals & Nature,animal-marine,,,
661,U+1F421,blowfish,Animals & Nature,animal-marine,,,
662,U+1F988,shark,Animals & Nature,animal-marine,,,
663,U+1F419,octopus,Animals & Nature,animal-marine,,,
664,U+1F41A,spiral shell,Animals & Nature,animal-marine,,,
665,U+1FAB8,coral,Animals & Nature,animal-marine,,,
666,U+1FABC,jellyfish,Animals & Nature,animal-marine,,,
667,U+1F40C,snail,Animals & Nature,animal-bug,,,
668,U+1F98B,butterfly,Animals & Nature,animal-bug,,,
669,U+1F41B,bug,Animals & Nature,animal-bug,,,
670,U+1F41C,ant,Animals & Nature,animal-bug,,,
671,U+1F41D,honeybee,Animals & Nature,animal-bug,,,
672,U+1FAB2,beetle,Animals & Nature,animal-bug,,,
673,U+1F41E,lady beetle,Animals & Nature,animal-bug,,,
674,U+1F997,cricket,Animals & Nature,animal-bug,,,
675,U+1FAB3,cockroach,Animals & Nature,animal-bug,,,
676,U+1F577,spider,Animals & Nature,animal-bug,,,
677,U+1F578,spider web,Animals & Nature,animal-bug,,,
678,U+1F982,scorpion,Animals & Nature,animal-bug,,,
679,U+1F99F,mosquito,Animals & Nature,animal-bug,,,
680,U+1FAB0,fly,Animals & Nature,animal-bug,,,
681,U+1FAB1,worm,Animals & Nature,animal-bug,,,
682,U+1F9A0,microbe,Animals & Nature,animal-bug,,,
683,U+1F490,bouquet,Animals & Nature,plant-flower,,,
684,U+1F338,cherry blossom,Animals & Nature,plant-flower,,,
685,U+1F4AE,white flower,Animals & Nature,plant-flower,,,
686,U+1FAB7,lotus,Animals & Nature,plant-flower,,,
687,U+1F3F5,rosette,Animals & Nature,plant-flower,,,
688,U+1F339,rose,Animals & Nature,plant-flower,,,
689,U+1F940,wilted flower,Animals & Nature,plant-flower,,,
690,U+1F33A,hibiscus,Animals & Nature,plant-flower,,,
691,U+1F33B,sunflower,Animals & Nature,plant-flower,,,
692,U+1F33C,blossom,Animals & Nature,plant-flower,,,
693,U+1F337,tulip,Animals & Nature,plant-flower,,,
694,U+1FABB,hyacinth,Animals & Nature,plant-flower,,,
695,U+1F331,seedling,Animals & Nature,plant-other,,,
696,U+1FAB4,potted plant,Animals & Nature,plant-other,,,
697,U+1F332,evergreen tree,Animals & Nature,plant-other,,,
698,U+1F333,deciduous tree,Animals & Nature,plant-other,,,
699,U+1F334,palm tree,Animals & Nature,plant-other,,,
700,U+1F335,cactus,Animals & Nature,plant-other,,,
701,U+1F33E,sheaf of rice,Animals & Nature,plant-other,,,
702,U+1F33F,herb,Animals & Nature,plant-other,,,
703,U+2618,shamrock,Animals & Nature,plant-other,,,
704,U+1F340,four leaf clover,Animals & Nature,plant-other,,,
705,U+1F341,maple leaf,Animals & Nature,plant-other,,,
706,U+1F342,fallen leaf,Animals & Nature,plant-other,,,
707,U+1F343,leaf fluttering in wind,Animals & Nature,plant-other,,,
708,U+1FAB9,empty nest,Animals & Nature,plant-other,,,
709,U+1FABA,nest with eggs,Animals & Nature,plant-other,,,
710,U+1F344,mushroom,Animals & Nature,plant-other,,,
711,U+1F347,grapes,Food & Drink,food-fruit,,,
712,U+1F348,melon,Food & Drink,food-fruit,,,
713,U+1F349,watermelon,Food & Drink,food-fruit,,,
714,U+1F34A,tangerine,Food & Drink,food-fruit,,,
715,U+1F34B,lemon,Food & Drink,food-fruit,,,
716,U+1F34B U+200D U+1F7E9,⊛ lime,Food & Drink,food-fruit,,,
717,U+1F34C,banana,Food & Drink,food-fruit,,,
718,U+1F34D,pineapple,Food & Drink,food-fruit,,,
719,U+1F96D,mango,Food & Drink,food-fruit,,,
720,U+1F34E,red apple,Food & Drink,food-fruit,,,
721,U+1F34F,green apple,Food & Drink,food-fruit,,,
722,U+1F350,pear,Food & Drink,food-fruit,,,
723,U+1F351,peach,Food & Drink,food-fruit,,,
724,U+1F352,cherries,Food & Drink,food-fruit,,,
725,U+1F353,strawberry,Food & Drink,food-fruit,,,
726,U+1FAD0,blueberries,Food & Drink,food-fruit,,,
727,U+1F95D,kiwi fruit,Food & Drink,food-fruit,,,
728,U+1F345,tomato,Food & Drink,food-fruit,,,
729,U+1FAD2,olive,Food & Drink,food-fruit,,,
730,U+1F965,coconut,Food & Drink,food-fruit,,,
731,U+1F951,avocado,Food & Drink,food-vegetable,,,
732,U+1F346,eggplant,Food & Drink,food-vegetable,,,
733,U+1F954,potato,Food & Drink,food-vegetable,,,
734,U+1F955,carrot,Food & Drink,food-vegetable,,,
735,U+1F33D,ear of corn,Food & Drink,food-vegetable,,,
736,U+1F336,hot pepper,Food & Drink,food-vegetable,,,
737,U+1FAD1,bell pepper,Food & Drink,food-vegetable,,,
738,U+1F952,cucumber,Food & Drink,food-vegetable,,,
739,U+1F96C,leafy green,Food & Drink,food-vegetable,,,
740,U+1F966,broccoli,Food & Drink,food-vegetable,,,
741,U+1F9C4,garlic,Food & Drink,food-vegetable,,,
742,U+1F9C5,onion,Food & Drink,food-vegetable,,,
743,U+1F95C,peanuts,Food & Drink,food-vegetable,,,
744,U+1FAD8,beans,Food & Drink,food-vegetable,,,
745,U+1F330,chestnut,Food & Drink,food-vegetable,,,
746,U+1FADA,ginger root,Food & Drink,food-vegetable,,,
747,U+1FADB,pea pod,Food & Drink,food-vegetable,,,
748,U+1F344 U+200D U+1F7EB,⊛ brown mushroom,Food & Drink,food-vegetable,,,
749,U+1F35E,bread,Food & Drink,food-prepared,,,
750,U+1F950,croissant,Food & Drink,food-prepared,,,
751,U+1F956,baguette bread,Food & Drink,food-prepared,,,
752,U+1FAD3,flatbread,Food & Drink,food-prepared,,,
753,U+1F968,pretzel,Food & Drink,food-prepared,,,
754,U+1F96F,bagel,Food & Drink,food-prepared,,,
755,U+1F95E,pancakes,Food & Drink,food-prepared,,,
756,U+1F9C7,waffle,Food & Drink,food-prepared,,,
757,U+1F9C0,cheese wedge,Food & Drink,food-prepared,,,
758,U+1F356,meat on bone,Food & Drink,food-prepared,,,
759,U+1F357,poultry leg,Food & Drink,food-prepared,,,
760,U+1F969,cut of meat,Food & Drink,food-prepared,,,
761,U+1F953,bacon,Food & Drink,food-prepared,,,
762,U+1F354,hamburger,Food & Drink,food-prepared,,,
763,U+1F35F,french fries,Food & Drink,food-prepared,,,
764,U+1F355,pizza,Food & Drink,food-prepared,,,
765,U+1F32D,hot dog,Food & Drink,food-prepared,,,
766,U+1F96A,sandwich,Food & Drink,food-prepared,,,
767,U+1F32E,taco,Food & Drink,food-prepared,,,
768,U+1F32F,burrito,Food & Drink,food-prepared,,,
769,U+1FAD4,tamale,Food & Drink,food-prepared,,,
770,U+1F959,stuffed flatbread,Food & Drink,food-prepared,,,
771,U+1F9C6,falafel,Food & Drink,food-prepared,,,
772,U+1F95A,egg,Food & Drink,food-prepared,,,
773,U+1F373,cooking,Food & Drink,food-prepared,,,
774,U+1F958,shallow pan of food,Food & Drink,food-prepared,,,
775,U+1F372,pot of food,Food & Drink,food-prepared,,,
776,U+1FAD5,fondue,Food & Drink,food-prepared,,,
777,U+1F963,bowl with spoon,Food & Drink,food-prepared,,,
778,U+1F957,green salad,Food & Drink,food-prepared,,,
779,U+1F37F,popcorn,Food & Drink,food-prepared,,,
780,U+1F9C8,butter,Food & Drink,food-prepared,,,
781,U+1F9C2,salt,Food & Drink,food-prepared,,,
782,U+1F96B,canned food,Food & Drink,food-prepared,,,
783,U+1F371,bento box,Food & Drink,food-asian,,,
784,U+1F358,rice cracker,Food & Drink,food-asian,,,
785,U+1F359,rice ball,Food & Drink,food-asian,,,
786,U+1F35A,cooked rice,Food & Drink,food-asian,,,
787,U+1F35B,curry rice,Food & Drink,food-asian,,,
788,U+1F35C,steaming bowl,Food & Drink,food-asian,,,
789,U+1F35D,spaghetti,Food & Drink,food-asian,,,
790,U+1F360,roasted sweet potato,Food & Drink,food-asian,,,
791,U+1F362,oden,Food & Drink,food-asian,,,
792,U+1F363,sushi,Food & Drink,food-asian,,,
793,U+1F364,fried shrimp,Food & Drink,food-asian,,,
794,U+1F365,fish cake with swirl,Food & Drink,food-asian,,,
795,U+1F96E,moon cake,Food & Drink,food-asian,,,
796,U+1F361,dango,Food & Drink,food-asian,,,
797,U+1F95F,dumpling,Food & Drink,food-asian,,,
798,U+1F960,fortune cookie,Food & Drink,food-asian,,,
799,U+1F961,takeout box,Food & Drink,food-asian,,,
800,U+1F980,crab,Food & Drink,food-marine,,,
801,U+1F99E,lobster,Food & Drink,food-marine,,,
802,U+1F990,shrimp,Food & Drink,food-marine,,,
803,U+1F991,squid,Food & Drink,food-marine,,,
804,U+1F9AA,oyster,Food & Drink,food-marine,,,
805,U+1F366,soft ice cream,Food & Drink,food-sweet,,,
806,U+1F367,shaved ice,Food & Drink,food-sweet,,,
807,U+1F368,ice cream,Food & Drink,food-sweet,,,
808,U+1F369,doughnut,Food & Drink,food-sweet,,,
809,U+1F36A,cookie,Food & Drink,food-sweet,,,
810,U+1F382,birthday cake,Food & Drink,food-sweet,,,
811,U+1F370,shortcake,Food & Drink,food-sweet,,,
812,U+1F9C1,cupcake,Food & Drink,food-sweet,,,
813,U+1F967,pie,Food & Drink,food-sweet,,,
814,U+1F36B,chocolate bar,Food & Drink,food-sweet,,,
815,U+1F36C,candy,Food & Drink,food-sweet,,,
816,U+1F36D,lollipop,Food & Drink,food-sweet,,,
817,U+1F36E,custard,Food & Drink,food-sweet,,,
818,U+1F36F,honey pot,Food & Drink,food-sweet,,,
819,U+1F37C,baby bottle,Food & Drink,drink,,,
820,U+1F95B,glass of milk,Food & Drink,drink,,,
821,U+2615,hot beverage,Food & Drink,drink,,,
822,U+1FAD6,teapot,Food & Drink,drink,,,
823,U+1F375,teacup without handle,Food & Drink,drink,,,
824,U+1F376,sake,Food & Drink,drink,,,
825,U+1F37E,bottle with popping cork,Food & Drink,drink,,,
826,U+1F377,wine glass,Food & Drink,drink,,,
827,U+1F378,cocktail glass,Food & Drink,drink,,,
828,U+1F379,tropical drink,Food & Drink,drink,,,
829,U+1F37A,beer mug,Food & Drink,drink,,,
830,U+1F37B,clinking beer mugs,Food & Drink,drink,,,
831,U+1F942,clinking glasses,Food & Drink,drink,,,
832,U+1F943,tumbler glass,Food & Drink,drink,,,
833,U+1FAD7,pouring liquid,Food & Drink,drink,,,
834,U+1F964,cup with straw,Food & Drink,drink,,,
835,U+1F9CB,bubble tea,Food & Drink,drink,,,
836,U+1F9C3,beverage box,Food & Drink,drink,,,
837,U+1F9C9,mate,Food & Drink,drink,,,
838,U+1F9CA,ice,Food & Drink,drink,,,
839,U+1F962,chopsticks,Food & Drink,dishware,,,
840,U+1F37D,fork and knife with plate,Food & Drink,dishware,,,
841,U+1F374,fork and knife,Food & Drink,dishware,,,
842,U+1F944,spoon,Food & Drink,dishware,,,
843,U+1F52A,kitchen knife,Food & Drink,dishware,,,
844,U+1FAD9,jar,Food & Drink,dishware,,,
845,U+1F3FA,amphora,Food & Drink,dishware,,,
846,U+1F30D,globe showing Europe-Africa,Travel & Places,place-map,,,
847,U+1F30E,globe showing Americas,Travel & Places,place-map,,,
848,U+1F30F,globe showing Asia-Australia,Travel & Places,place-map,,,
849,U+1F310,globe with meridians,Travel & Places,place-map,,,
850,U+1F5FA,world map,Travel & Places,place-map,,,
851,U+1F5FE,map of Japan,Travel & Places,place-map,,,
852,U+1F9ED,compass,Travel & Places,place-map,,,
853,U+1F3D4,snow-capped mountain,Travel & Places,place-geographic,,,
854,U+26F0,mountain,Travel & Places,place-geographic,,,
855,U+1F30B,volcano,Travel & Places,place-geographic,,,
856,U+1F5FB,mount fuji,Travel & Places,place-geographic,,,
857,U+1F3D5,camping,Travel & Places,place-geographic,,,
858,U+1F3D6,beach with umbrella,Travel & Places,place-geographic,,,
859,U+1F3DC,desert,Travel & Places,place-geographic,,,
860,U+1F3DD,desert island,Travel & Places,place-geographic,,,
861,U+1F3DE,national park,Travel & Places,place-geographic,,,
862,U+1F3DF,stadium,Travel & Places,place-building,,,
863,U+1F3DB,classical building,Travel & Places,place-building,,,
864,U+1F3D7,building construction,Travel & Places,place-building,,,
865,U+1F9F1,brick,Travel & Places,place-building,,,
866,U+1FAA8,rock,Travel & Places,place-building,,,
867,U+1FAB5,wood,Travel & Places,place-building,,,
868,U+1F6D6,hut,Travel & Places,place-building,,,
869,U+1F3D8,houses,Travel & Places,place-building,,,
870,U+1F3DA,derelict house,Travel & Places,place-building,,,
871,U+1F3E0,house,Travel & Places,place-building,,,
872,U+1F3E1,house with garden,Travel & Places,place-building,,,
873,U+1F3E2,office building,Travel & Places,place-building,,,
874,U+1F3E3,Japanese post office,Travel & Places,place-building,,,
875,U+1F3E4,post office,Travel & Places,place-building,,,
876,U+1F3E5,hospital,Travel & Places,place-building,,,
877,U+1F3E6,bank,Travel & Places,place-building,,,
878,U+1F3E8,hotel,Travel & Places,place-building,,,
879,U+1F3E9,love hotel,Travel & Places,place-building,,,
880,U+1F3EA,convenience store,Travel & Places,place-building,,,
881,U+1F3EB,school,Travel & Places,place-building,,,
882,U+1F3EC,department store,Travel & Places,place-building,,,
883,U+1F3ED,factory,Travel & Places,place-building,,,
884,U+1F3EF,Japanese castle,Travel & Places,place-building,,,
885,U+1F3F0,castle,Travel & Places,place-building,,,
886,U+1F492,wedding,Travel & Places,place-building,,,
887,U+1F5FC,Tokyo tower,Travel & Places,place-building,,,
888,U+1F5FD,Statue of Liberty,Travel & Places,place-building,,,
